import time: self [us] | cumulative | imported package
import time:       214 |        214 |   flask_compress._version
import time:       285 |       5665 | flask_compress
import time:       257 |        257 |   flask_session.defaults
import time:       266 |        523 | flask_session
import time:       983 |        983 |       wtforms.validators
import time:       476 |        476 |         wtforms.widgets.core
import time:       231 |        706 |       wtforms.widgets
import time:       231 |        231 |               wtforms.i18n
import time:       252 |        252 |               wtforms.utils
import time:       484 |        966 |             wtforms.fields.core
import time:       633 |       1598 |           wtforms.fields.choices
import time:       294 |        294 |           wtforms.fields.datetime
import time:       288 |        288 |           wtforms.fields.form
import time:       219 |        219 |           wtforms.fields.list
import time:       335 |        335 |           wtforms.fields.numeric
import time:       262 |        262 |           wtforms.fields.simple
import time:       254 |       3248 |         wtforms.fields
import time:        14 |       3261 |       wtforms.fields.choices
import time:       276 |        276 |         wtforms.meta
import time:       259 |        535 |       wtforms.form
import time:       340 |       5822 |     wtforms
import time:       174 |        174 |       wtforms.csrf
import time:       270 |        444 |     wtforms.csrf.core
import time:       331 |       6596 |   flask_wtf.csrf
import time:        43 |         43 |       babel
import time:       277 |        320 |     flask_wtf.i18n
import time:       166 |        485 |   flask_wtf.form
import time:       175 |        175 |       flask_wtf.recaptcha.widgets
import time:       179 |        179 |       flask_wtf.recaptcha.validators
import time:       310 |        663 |     flask_wtf.recaptcha.fields
import time:       177 |        839 |   flask_wtf.recaptcha
import time:       209 |       8128 | flask_wtf
import time:      1097 |       1097 |     dotenv.parser
import time:       522 |        522 |     dotenv.variables
import time:       827 |       2445 |   dotenv.main
import time:       261 |       2706 | dotenv
import time:      1622 |       1622 |                   pydantic_core._pydantic_core
import time:      6024 |       6024 |                   pydantic_core.core_schema
import time:       366 |       8011 |                 pydantic_core
import time:       270 |       8280 |               pydantic.version
import time:       317 |       8597 |             pydantic.warnings
import time:       627 |       9224 |           pydantic._migration
import time:       328 |        328 |               typing_inspection
import time:      1202 |       1202 |               typing_inspection.typing_objects
import time:       827 |       2356 |             typing_inspection.introspection
import time:       322 |        322 |             pydantic._internal
import time:       389 |        389 |                 pydantic._internal._namespace_utils
import time:       526 |        915 |               pydantic._internal._typing_extra
import time:       327 |       1242 |             pydantic._internal._repr
import time:       518 |       4437 |           pydantic.errors
import time:       292 |      13952 |         pydantic
import time:      4531 |       4531 |           annotated_types
import time:      3095 |       3095 |             fractions
import time:       307 |        307 |             pydantic._internal._import_utils
import time:       416 |       3816 |           pydantic._internal._validators
import time:       252 |        252 |                 pydantic._internal._internal_dataclass
import time:       980 |       1231 |               pydantic.aliases
import time:       286 |        286 |                 pydantic._internal._core_utils
import time:       399 |        399 |                 pydantic._internal._forward_ref
import time:       898 |        898 |                 pydantic._internal._utils
import time:       664 |       2246 |               pydantic._internal._generics
import time:       817 |        817 |                 pydantic.config
import time:       377 |       1193 |               pydantic._internal._config
import time:       592 |        592 |               pydantic._internal._docs_extraction
import time:       748 |       6008 |             pydantic._internal._fields
import time:       345 |        345 |             pydantic.annotated_handlers
import time:       331 |        331 |               pydantic._internal._core_metadata
import time:      2738 |       2738 |               pydantic._internal._decorators
import time:       583 |        583 |                   pydantic.plugin
import time:       349 |        931 |                 pydantic.plugin._schema_validator
import time:       397 |       1327 |               pydantic._internal._mock_val_ser
import time:       322 |        322 |               pydantic._internal._schema_generation_shared
import time:      1663 |       6379 |             pydantic.json_schema
import time:      3976 |      16707 |           pydantic.types
import time:      1538 |      26590 |         pydantic.fields
import time:       319 |        319 |             httpx.__version__
import time:       480 |        480 |                   httpx._exceptions
import time:       801 |        801 |                       calendar
import time:      2035 |       2835 |                     http.cookiejar
import time:       780 |        780 |                         httpx._types
import time:       396 |        396 |                         httpx._utils
import time:       343 |       1519 |                       httpx._multipart
import time:       355 |       1873 |                     httpx._content
import time:        48 |         48 |                       zstandard
import time:       399 |        446 |                     httpx._decoders
import time:       851 |        851 |                     httpx._status_codes
import time:       351 |        351 |                           idna.idnadata
import time:       284 |        284 |                           idna.intranges
import time:       621 |       1255 |                         idna.core
import time:       110 |        110 |                         idna.package_data
import time:       359 |       1723 |                       idna
import time:      1197 |       1197 |                       httpx._urlparse
import time:       570 |       3490 |                     httpx._urls
import time:       573 |      10066 |                   httpx._models
import time:       462 |      11007 |                 httpx._auth
import time:       301 |        301 |                 httpx._config
import time:       209 |        209 |                       httpx._transports.base
import time:       326 |        535 |                     httpx._transports.asgi
import time:       482 |        482 |                     httpx._transports.default
import time:       269 |        269 |                     httpx._transports.mock
import time:       227 |        227 |                     httpx._transports.wsgi
import time:       211 |       1722 |                   httpx._transports
import time:        19 |       1740 |                 httpx._transports.base
import time:       649 |      13695 |               httpx._client
import time:       218 |      13912 |             httpx._api
import time:       289 |        289 |                 pygments
import time:      1518 |       1518 |                 pygments.lexers._mapping
import time:       380 |        380 |                 pygments.modeline
import time:       180 |        180 |                 pygments.plugin
import time:       572 |        572 |                 pygments.util
import time:       409 |       3345 |               pygments.lexers
import time:        43 |         43 |                 rich
import time:        14 |         56 |               rich.console
import time:       501 |       3901 |             httpx._main
import time:       331 |      18462 |           httpx
import time:      2157 |       2157 |               pydantic.functional_validators
import time:       413 |        413 |               pydantic._internal._discriminated_union
import time:       491 |        491 |               pydantic._internal._known_annotated_metadata
import time:       655 |        655 |               pydantic._internal._schema_gather
import time:       999 |       4714 |             pydantic._internal._generate_schema
import time:       408 |        408 |             pydantic._internal._signature
import time:       700 |       5820 |           pydantic._internal._model_construction
import time:      1924 |      26206 |         openai._types
import time:       200 |        200 |                 sniffio._version
import time:       198 |        198 |                 sniffio._impl
import time:       298 |        694 |               sniffio
import time:       439 |       1133 |             openai._utils._utils
import time:       361 |       1494 |           openai._utils._logs
import time:       406 |        406 |           openai._utils._path
import time:       214 |        214 |                 anyio._core
import time:       430 |        644 |               anyio._core._contextmanagers
import time:       374 |        374 |                 anyio._core._exceptions
import time:       218 |        591 |               anyio._core._eventloop
import time:       562 |        562 |                     anyio.abc._eventloop
import time:       315 |        315 |                     anyio.abc._resources
import time:       221 |        221 |                       anyio._core._typedattr
import time:       410 |        410 |                         anyio.abc._tasks
import time:       711 |       1120 |                       anyio.abc._streams
import time:       586 |       1927 |                     anyio.abc._sockets
import time:       262 |        262 |                     anyio.abc._subprocesses
import time:       220 |        220 |                     anyio.abc._testing
import time:       621 |        621 |                       anyio.lowlevel
import time:       395 |        395 |                       anyio._core._tasks
import time:       287 |        287 |                       anyio._core._testing
import time:      1949 |       3252 |                     anyio._core._synchronization
import time:       857 |        857 |                     anyio.from_thread
import time:       345 |       7736 |                   anyio.abc
import time:       164 |       7899 |                 anyio.to_thread
import time:       745 |       8643 |               anyio._core._fileio
import time:       236 |        236 |               anyio._core._resources
import time:       249 |        249 |               anyio._core._signals
import time:       276 |        276 |                   anyio.streams
import time:       889 |       1165 |                 anyio.streams.stapled
import time:       931 |        931 |                 anyio.streams.tls
import time:      1537 |       3631 |               anyio._core._sockets
import time:      1230 |       1230 |                 anyio.streams.memory
import time:       363 |       1593 |               anyio._core._streams
import time:       309 |        309 |               anyio._core._subprocesses
import time:       485 |        485 |               anyio._core._tempfile
import time:       413 |      16790 |             anyio
import time:       316 |      17105 |           openai._utils._sync
import time:       404 |        404 |           openai._utils._proxy
import time:       490 |        490 |             openai._utils._datetime_parse
import time:       239 |        728 |           openai._utils._compat
import time:       293 |        293 |           openai._utils._typing
import time:       271 |        271 |           openai._utils._streams
import time:       291 |        291 |             openai._files
import time:       445 |        736 |           openai._utils._transform
import time:       174 |        174 |           openai._utils._reflection
import time:       422 |      22028 |         openai._utils
import time:       226 |        226 |           pydantic.plugin._loader
import time:      4793 |       5019 |         openai._compat
import time:       214 |        214 |         openai._constants
import time:       226 |        226 |         pydantic._internal._serializers
import time:      4437 |      98668 |       openai._models
import time:       517 |        517 |       openai.types.batch_error
import time:       534 |        534 |       openai.types.batch_usage
import time:       173 |        173 |           openai.types.shared.metadata
import time:       237 |        237 |             openai.types.shared.reasoning_effort
import time:       403 |        639 |           openai.types.shared.reasoning
import time:       241 |        241 |             openai.types.shared.chat_model
import time:       171 |        412 |           openai.types.shared.all_models
import time:       313 |        313 |           openai.types.shared.error_object
import time:       481 |        481 |             openai.types.shared.comparison_filter
import time:       259 |        739 |           openai.types.shared.compound_filter
import time:       309 |        309 |           openai.types.shared.responses_model
import time:       257 |        257 |           openai.types.shared.oauth_error_code
import time:       197 |        197 |             openai.types.shared.function_parameters
import time:       451 |        647 |           openai.types.shared.function_definition
import time:       413 |        413 |           openai.types.shared.response_format_text
import time:       491 |        491 |           openai.types.shared.custom_tool_input_format
import time:       342 |        342 |           openai.types.shared.response_format_json_object
import time:       553 |        553 |           openai.types.shared.response_format_json_schema
import time:       297 |        297 |           openai.types.shared.response_format_text_python
import time:       558 |        558 |           openai.types.shared.response_format_text_grammar
import time:       351 |       6488 |         openai.types.shared
import time:        22 |       6510 |       openai.types.shared.metadata
import time:       408 |        408 |       openai.types.batch_request_counts
import time:      1008 |     107643 |     openai.types.batch
import time:       581 |        581 |     openai.types.image
import time:       500 |        500 |     openai.types.model
import time:       372 |        372 |     openai.types.skill
import time:       288 |        288 |       openai.types.video_size
import time:       295 |        295 |       openai.types.video_model
import time:       244 |        244 |       openai.types.video_seconds
import time:       335 |        335 |       openai.types.video_create_error
import time:       549 |       1709 |     openai.types.video
import time:       425 |        425 |       openai.types.file_object
import time:       558 |        982 |     openai.types.upload
import time:       408 |        408 |     openai.types.embedding
import time:       318 |        318 |     openai.types.chat_model
import time:       706 |        706 |       openai.types.completion_usage
import time:       636 |        636 |       openai.types.completion_choice
import time:       579 |       1919 |     openai.types.completion
import time:      1541 |       1541 |     openai.types.moderation
import time:       437 |        437 |     openai.types.skill_list
import time:       348 |        348 |     openai.types.audio_model
import time:       176 |        176 |     openai.types.image_model
import time:       275 |        275 |     openai.types.file_content
import time:       454 |        454 |     openai.types.file_deleted
import time:       310 |        310 |     openai.types.file_purpose
import time:       944 |        944 |     openai.types.vector_store
import time:       405 |        405 |     openai.types.deleted_skill
import time:       274 |        274 |     openai.types.model_deleted
import time:       375 |        375 |     openai.types.embedding_model
import time:       802 |        802 |     openai.types.images_response
import time:       312 |        312 |     openai.types.eval_list_params
import time:       153 |        153 |     openai.types.file_list_params
import time:       271 |        271 |     openai.types.moderation_model
import time:       271 |        271 |     openai.types.batch_list_params
import time:       491 |        491 |     openai.types.image_edit_params
import time:       306 |        306 |     openai.types.skill_list_params
